station_name,1R,1K,1DK,1LDK,2K,2DK,2LDK,3K,3DK,3LDK,4K,4DK,pref_cd,lon,lat
王子,6.71,8.31,8.84,12.16,8.96,10.96,18.36,,15.7,,,,13.0,139.73809,35.752538
上中里,6.57,7.57,7.04,15.13,,10.72,,,,,,,13.0,139.745769,35.747279999999996
大井町,8.43,9.46,13.39,15.69,,12.76,22.69,,,30.18,,,13.0,139.73485,35.606257
大森,8.24,8.73,10.97,14.4,10.08,13.61,19.27,,,,,,13.0,139.728079,35.588903
蒲田,8.55,8.54,11.13,14.09,9.57,11.41,16.11,,,16.91,,,13.0,139.716032,35.562517
川崎,7.03,7.73,9.87,13.29,,10.04,14.33,,,16.83,,,14.0,139.697485,35.531310999999995
鶴見,6.31,7.66,8.2,11.15,,10.13,15.66,,12.57,17.54,,,14.0,139.67614,35.508387
新子安,5.56,6.93,,10.48,,,17.2,,,,,,14.0,139.654776,35.487064000000004
東神奈川,7.39,8.05,10.75,11.53,,8.84,,,,,,,14.0,139.633466,35.47804
横浜,7.8,8.26,11.2,17.51,,10.86,25.42,,,25.9,,,14.0,139.622704,35.466195
桜木町,6.31,8.25,9.85,11.84,,,31.12,,,37.33,,,14.0,139.63088100000002,35.451112
関内,6.97,7.88,10.0,14.28,9.23,9.35,20.76,,,17.05,,,14.0,139.636984,35.443335999999995
石川町,6.52,7.38,9.29,13.14,,,26.5,,,22.19,,,14.0,139.642934,35.438808
山手,5.37,6.42,8.4,9.75,,9.22,,,,,,,14.0,139.646425,35.426891
根岸,5.49,7.3,8.8,8.81,,9.03,,,,,,,14.0,139.636034,35.415887
磯子,5.58,5.57,,,7.2,,12.28,,,,,,14.0,139.61791599999998,35.399881
新杉田,6.02,6.69,,9.25,,7.78,,,,,,,14.0,139.619483,35.386863
洋光台,,5.98,,8.9,,,9.43,,,,,,14.0,139.596852,35.378785
港南台,,6.63,,,,,8.13,,,,,,14.0,139.576243,35.375183
本郷台,5.86,6.44,,,,,,,,,,,14.0,139.550159,35.36787
大船,6.1,6.82,,11.33,,,15.86,,,15.58,,,14.0,139.531127,35.353466
御茶ノ水,9.89,10.37,13.28,17.63,,15.56,26.05,,,,,,13.0,139.76495500000001,35.699605
水道橋,10.75,10.23,13.4,17.37,,15.4,26.02,,,,,,13.0,139.754312,35.702039
飯田橋,11.27,10.8,13.92,19.73,14.11,,30.08,,,67.0,,,13.0,139.74514299999998,35.701834999999996
市ケ谷,9.6,10.04,14.63,19.08,13.74,,31.06,,,57.83,,,13.0,139.73558300000002,35.691
四ツ谷,10.02,11.11,12.85,17.09,,,37.83,,,51.76,,,13.0,139.73064399999998,35.686040999999996
信濃町,9.89,10.07,13.7,19.1,15.63,,25.88,,,43.25,,,13.0,139.720729,35.680031
千駄ケ谷,10.02,11.6,13.77,21.61,,,,,,,,,13.0,139.711644,35.681231
大久保,9.33,9.1,12.56,17.32,10.48,,23.03,,,29.57,,,13.0,139.69732,35.700784000000006
東中野,7.83,9.3,10.89,15.4,10.27,12.3,19.11,,,,,,13.0,139.684436,35.706528999999996
中野,7.51,8.54,11.28,15.59,9.35,12.6,20.62,,,21.66,,,13.0,139.66583500000002,35.705765
高円寺,7.25,8.33,10.25,15.21,9.99,11.71,19.64,,,,,,13.0,139.649664,35.705326
阿佐ケ谷,6.74,7.73,10.14,14.08,9.2,13.03,18.06,,,,,,13.0,139.635868,35.704817999999996
荻窪,7.54,8.1,11.05,13.36,10.97,12.46,15.9,,,,,,13.0,139.620109,35.704522999999995
西荻窪,7.47,7.85,11.58,14.2,10.24,11.19,22.32,,,,,,13.0,139.59936100000002,35.703842
吉祥寺,7.19,8.04,9.44,13.44,8.94,14.45,20.46,,,,,,13.0,139.57976499999998,35.703119
三鷹,8.02,7.36,9.85,13.31,9.57,12.57,20.98,,,24.22,,,13.0,139.560325,35.702683
武蔵境,7.28,7.29,9.41,13.54,11.67,10.52,14.69,,10.6,19.36,,,13.0,139.54340200000001,35.702083
東小金井,5.8,6.33,7.29,9.93,8.3,9.05,,,12.5,15.27,,,13.0,139.52483700000002,35.701643
武蔵小金井,6.09,6.44,7.63,12.37,,8.26,13.83,,10.3,26.85,,,13.0,139.506483,35.701337
国分寺,5.91,6.61,7.99,10.53,8.92,8.61,,,,,,,13.0,139.480841,35.700123
西国分寺,5.33,6.15,,,6.34,7.8,9.72,,,,,,13.0,139.465994,35.699744
国立,5.53,6.64,9.33,13.98,8.5,9.43,16.95,,,14.8,,,13.0,139.44634,35.69923
立川,5.9,7.13,8.47,12.09,8.36,9.4,16.25,,,19.96,,,13.0,139.413704,35.698202
日野,4.71,5.72,,9.35,,6.99,9.41,,,11.6,,,13.0,139.39393,35.679244
豊田,6.11,6.14,7.48,9.78,8.22,8.59,10.98,,,,,,13.0,139.381495,35.659502
八王子,4.32,6.29,7.53,10.49,6.0,7.46,10.83,,11.13,14.85,,,13.0,139.338998,35.655555
西八王子,3.79,5.94,6.66,9.39,,6.88,9.98,,9.0,,,,13.0,139.31264,35.656621
高尾,3.94,5.31,,,,7.15,11.34,,,,,,13.0,139.282288,35.642026
千葉,6.08,6.19,6.96,9.13,,6.69,11.6,,8.57,15.57,,,12.0,140.112837,35.613425
西千葉,5.61,4.97,7.32,9.13,,,8.97,,,16.66,,,12.0,140.103337,35.622639
稲毛,5.6,5.55,6.68,8.42,,7.52,9.49,,8.43,,,,12.0,140.09256000000002,35.637264
新検見川,5.25,5.37,,7.23,5.2,6.52,8.86,,,,,,12.0,140.073025,35.65169
幕張,6.0,5.8,6.64,8.22,,6.56,,,7.02,,,,12.0,140.057899,35.6594
幕張本郷,4.61,6.11,7.7,8.51,,7.85,11.58,,8.76,10.98,,,12.0,140.042241,35.672664000000005
津田沼,5.43,6.24,7.12,10.56,,,14.33,,,15.24,,,12.0,140.020179,35.691367
東船橋,6.44,6.29,7.12,9.45,,8.29,10.36,,8.42,,,,12.0,140.00393,35.699811
船橋,6.22,6.73,7.67,11.87,7.02,8.2,14.5,,,16.26,,,12.0,139.98470700000001,35.701865000000005
西船橋,7.42,6.87,8.19,10.11,6.73,8.45,11.76,,9.44,11.87,,,12.0,139.959536,35.707283000000004
下総中山,5.45,6.45,7.7,10.0,,7.62,12.14,,,,,,12.0,139.94309199999998,35.714276
本八幡,6.3,6.84,7.7,9.76,6.87,8.47,12.19,,10.23,18.78,,,12.0,139.92741,35.720898
市川,6.6,6.64,7.5,10.66,7.19,8.82,13.66,,,19.84,,,12.0,139.908142,35.728903
小岩,5.76,6.72,7.76,9.96,8.16,9.0,13.42,,,11.2,,,13.0,139.881755,35.733207
新小岩,6.34,7.48,7.75,11.59,,9.1,13.76,,,,,,13.0,139.857777,35.716903
平井,6.31,6.97,8.26,10.82,,13.04,15.16,,,19.15,,,13.0,139.842181,35.70643
