station_name,pref_cd,post,address,lon,lat
清澄白河,13,135-0021,江東区白河１-７-１４,139.798851,35.682105
門前仲町,13,135-0048,江東区門前仲町１丁目,139.796209,35.671851000000004
月島,13,104-0052,東京都中央区月島一丁目3-9,139.784233,35.664871000000005
麻布十番,13,106-0045,港区麻布十番４-４-９,139.73611599999998,35.656503
六本木,13,106-0032,港区六本木６-１-２５,139.73156699999998,35.663921
新宿,13,151-0053,東京都渋谷区代々木二丁目1-1,139.698812,35.68869
中野坂上,13,164-0011,中野区中央２-１-２,139.682279,35.69709
東中野,13,164-0003,中野区東中野４丁目,139.682987,35.706891
中井,13,161-0032,新宿区中落合１-１９-１,139.68635600000002,35.714034999999996
豊島園,13,176-0001,練馬区練馬４-１６-５,139.64911,35.742067
中延,13,142-0053,品川区中延４-５-５,139.713736,35.605769
泉岳寺,13,108-0074,港区高輪２-１６-３４,139.74002,35.638692
大門,13,105-0013,港区浜松町１-２７-１２,139.75466,35.656785
東銀座,13,104-0061,中央区銀座４-１２-１５,139.767253,35.669464000000005
人形町,13,103-0013,中央区日本橋人形町２-６-５,139.782285,35.686307
浅草橋,13,111-0053,台東区浅草橋１丁目,139.786305,35.697451
蔵前,13,111-0051,台東区蔵前２-３-１,139.790931,35.703236
浅草,13,111-0043,東京都台東区駒形一丁目12-14,139.79697,35.709461
押上（スカイツリー前）,13,131-0045,墨田区押上一丁目,139.812935,35.710702000000005
白金台,13,108-0071,港区白金台３-２,139.726133,35.637917
白金高輪,13,108-0074,港区高輪１-３-２０,139.734104,35.642903000000004
三田,13,108-0014,港区芝５-３４-１０,139.748775,35.648179999999996
神保町,13,101-0051,千代田区神田神保町２-２,139.75812,35.695492
水道橋,13,101-0061,千代田区三崎町２丁目,139.75516000000002,35.703398
春日,13,112-0003,文京区春日１-１６-１７,139.75325,35.709598
巣鴨,13,170-0002,東京都豊島区巣鴨三丁目27-7,139.738519,35.733502
小川町,13,101-0052,千代田区神田小川町１-６,139.767551,35.695487
森下,13,135-0004,江東区森下２-１７-１７,139.797042,35.68796
住吉,13,135-0002,江東区住吉２-２３-１２,139.815681,35.689073
本八幡,12,272-0021,市川市八幡２丁目,139.926628,35.722929
早稲田,13,169-0051,東京都新宿区西早稲田一丁目,139.718928,35.711847999999996
羽生,11,348-0053,羽生市南１,139.533949,36.170345000000005
熊谷,11,360-0037,熊谷市筑波２丁目,139.389542,36.139313
永田,11,369-1243,深谷市永田,139.259516,36.135314
赤羽岩淵,13,115-0045,北区赤羽１-５２-８,139.722103,35.783417
東川口,11,333-0811,川口市戸塚１丁目,139.74398,35.876211
大原,12,298-0004,いすみ市大原,140.390864,35.251096999999994
新御徒町,13,111-0041,台東区元浅草１-５-２,139.781958,35.707045
浅草,13,111-0035,東京都台東区西浅草三丁目1-11,139.792389,35.713817
南流山,12,270-0161,流山市大字鰭ケ崎,139.903271,35.83869
流山おおたかの森,12,270-0121,流山市西初石六丁目,139.92504399999999,35.871798999999996
新橋,13,105-0021,東京都港区東新橋一丁目5-13,139.75964399999998,35.665503
汐留,13,105-0021,港区東新橋１丁目５,139.759985,35.662871
豊洲,13,135-0061,東京都江東区豊洲二丁目2,139.795414,35.653791999999996
ユーカリが丘,12,285-0858,佐倉市ユーカリが丘４-８-２,140.157019,35.722246999999996
あざみ野,14,225-0011,横浜市青葉区あざみ野２-１-１,139.553694,35.568076
新横浜,14,222-0026,横浜市港北区篠原町,139.61774499999999,35.508588
桜木町,14,231-0062,横浜市中区桜木町１丁目,139.630791,35.449667
関内,14,231-0017,横浜市中区港町１丁目,139.635855,35.445821
弘明寺,14,232-0056,横浜市南区通町四丁目114,139.602081,35.423294
上大岡,14,233-0002,横浜市港南区上大岡西１-６-１,139.595901,35.408745
新杉田,14,235-0032,横浜市磯子区新杉田町,139.620502,35.385919
鎌倉,14,248-0006,鎌倉市小町１丁目,139.550121,35.318490999999995
東成田,12,286-0104,成田市古込字込前１２４,140.387225,35.770091
五井,12,290-0056,市原市五井,140.089522,35.512985
上総中野,12,298-0262,夷隅郡大多喜町堀切,140.199571,35.250051
松戸,12,271-0092,松戸市松戸,139.900779,35.784471999999994
千葉みなと,12,260-0024,千葉市中央区中央港１丁目,140.102495,35.607391
栄町,12,260-0016,千葉市中央区栄町２９-９,140.118592,35.612821999999994
都賀,12,264-0025,千葉市若葉区都賀３丁目,140.148736,35.635490999999995
馬橋,12,271-0051,松戸市馬橋,139.91704199999998,35.811949
平和台,12,270-0164,流山市流山４-４８３,139.901108,35.85123
多摩動物公園,13,191-0042,日野市程久保３-３６-３９,139.403672,35.648666
玉川上水,13,190-0002,立川市幸町６-３６-１,139.417866,35.73223
浜松町,13,105-0013,東京都港区浜松町二丁目4-12,139.756747,35.655666
天空橋,13,144-0041,大田区羽田空港１-１-２,139.75423,35.548908000000004
羽田空港第3ターミナル,13,144-0041,東京都大田区羽田空港二丁目6-5,139.768206,35.544169000000004
天王洲アイル,13,140-0002,品川区東品川２-５-１９,139.750793,35.620562
北習志野,12,274-0063,船橋市習志野台３-１-１,140.04236,35.721674
千葉ニュータウン中央,12,270-1340,千葉県印西市中央南一丁目1390-1,140.116159,35.800175
印旛日本医大,12,270-1609,千葉県印西市若萩一丁目1,140.203112,35.787512
熊野前,13,116-0012,荒川区東尾久５,139.76969499999998,35.748971999999995
中山,14,226-0013,横浜市緑区寺山町,139.54032,35.515029
センター南,14,224-0032,横浜市都筑区茅ケ崎中央１-１,139.574325,35.545863
センター北,14,224-0003,横浜市都筑区中川中央１-１-１,139.57838600000002,35.553534
強羅,14,250-0408,足柄下郡箱根町強羅１３００-３２９,139.04816200000002,35.25085
