station_name,1R,1K,1DK,1LDK,2K,2DK,2LDK,3K,3DK,3LDK,4K,4DK,pref_cd,lon,lat,travel_time_train,travel_time_bicycle
西巣鴨,6.97,7.97,9.28,12.72,8.98,12.2,18.15,,,,,,13.0,139.728712,35.743508,16,42
新板橋,6.3,8.56,9.3,12.71,9.23,9.93,21.22,,,,13.5,,13.0,139.720101,35.748785,14,45
板橋区役所前,7.1,7.89,9.28,12.94,8.27,10.55,14.08,,,18.59,,,13.0,139.710102,35.75128400000001,16,49
板橋本町,6.48,7.62,9.08,11.35,8.52,10.99,15.91,,,23.17,,,13.0,139.705535,35.761339,18,52
本蓮沼,6.35,7.1,10.13,12.61,9.12,10.45,16.62,,11.17,18.83,,,13.0,139.702324,35.768782,20,56
志村坂上,6.44,7.01,9.96,12.24,8.18,8.28,16.25,,,16.91,,,13.0,139.69538,35.775725,22,60
志村三丁目,5.7,7.03,8.3,9.81,7.11,8.37,11.58,,,15.08,,,13.0,139.68593700000002,35.77739099999999,24,62
蓮根,6.33,7.24,8.72,10.81,6.78,8.32,14.56,,,13.93,,,13.0,139.678993,35.784335,26,67
西台,6.46,7.27,7.82,11.2,6.91,7.71,13.48,,,13.88,,,13.0,139.673971,35.78699,28,70
高島平,6.87,7.2,8.07,9.74,7.24,8.67,,,9.66,,,,13.0,139.661216,35.789056,30,74
新高島平,4.98,6.89,7.93,10.91,6.62,8.9,9.82,,9.66,,,,13.0,139.654275,35.790189,34,76
西高島平,6.29,7.17,8.37,,,7.32,,,,10.39,,,13.0,139.64594,35.79183300000001,36,80
曙橋,9.0,10.01,13.27,18.93,,,27.33,,,,,,13.0,139.722881,35.692402,16,20
市ヶ谷,9.6,10.04,14.63,19.08,13.74,,31.06,,,57.83,,,13.0,139.737639,35.691556,16,23
岩本町,10.29,10.31,14.27,17.04,,19.53,24.13,,,,,,13.0,139.77586599999998,35.695534,22,38
馬喰横山,10.06,10.08,15.04,17.17,,17.44,22.79,,17.5,,,,13.0,139.782768,35.69212,24,39
浜町,10.67,9.94,12.3,17.74,,16.3,24.74,,,,,,13.0,139.788154,35.688516,25,41
菊川,8.52,9.18,11.78,14.5,10.91,12.93,18.84,,,,,,13.0,139.806016,35.688379,29,46
西大島,7.89,8.43,10.01,11.64,9.89,11.24,16.37,,,16.01,,,13.0,139.826206,35.689349,32,54
大島,7.37,8.87,8.64,11.87,8.82,9.67,14.18,,,16.82,,,13.0,139.83565,35.689905,34,57
東大島,6.32,8.9,,10.05,8.58,,,,,,,13.9,13.0,139.84596299999998,35.690355,36,63
船堀,6.24,7.58,,11.11,,8.69,12.23,,,,,,13.0,139.864258,35.683795,39,74
一之江,6.23,6.7,7.34,12.31,,8.44,14.01,,,,,,13.0,139.882934,35.686055,42,84
瑞江,6.65,6.49,7.23,10.84,,8.78,11.91,,,12.79,,,13.0,139.89761,35.693318,44,90
篠崎,6.06,6.62,7.57,10.41,,8.33,11.77,,10.7,,,,13.0,139.903698,35.706017,47,88
西馬込,8.2,8.06,10.22,13.41,,12.14,18.29,,,20.78,,,13.0,139.705942,35.58685900000001,20,35
馬込,7.81,7.97,10.22,13.6,12.11,11.18,14.49,,,,,,13.0,139.711772,35.596435,18,31
戸越,8.74,9.41,11.63,14.98,9.83,13.81,21.05,,,,,,13.0,139.716495,35.61463300000001,15,24
高輪台,10.15,9.7,13.54,17.88,18.72,,29.68,,,41.39,,,13.0,139.73030500000002,35.631679,14,18
泉岳寺,12.48,10.78,15.04,20.67,,,26.88,,,,,,13.0,139.74002,35.638692,19,19
宝町,9.57,10.02,14.54,17.93,,,26.55,,,,,,13.0,139.77176699999998,35.675461,25,31
東日本橋,8.81,10.25,12.21,16.9,,18.83,24.44,,,,,,13.0,139.784821,35.692126,29,40
本所吾妻橋,9.15,9.62,10.39,16.02,,11.56,17.58,,,20.6,,,13.0,139.804624,35.70858,35,55
三ノ輪橋,7.71,8.02,9.03,13.67,,10.03,14.96,,,,,,13.0,139.791412,35.732248,38,57
荒川一中前,6.29,7.74,7.88,12.98,,,,,,,,,13.0,139.788988,35.733659,41,58
荒川区役所前,,7.93,7.74,12.99,,,14.6,,,,,,13.0,139.78645600000002,35.73493,40,61
荒川二丁目,,7.67,,,,,,,,,,,13.0,139.784696,35.738623,39,60
荒川七丁目,5.92,7.89,,,,,,,,,,,13.0,139.78417,35.741975,38,62
町屋駅前,6.33,7.34,,10.42,,,,,,,,,13.0,139.781145,35.74275,35,59
町屋二丁目,6.19,7.03,,,,,,,,,,,13.0,139.776625,35.743837,38,61
東尾久三丁目,6.17,6.78,7.61,,,,,,,,,,13.0,139.77438600000002,35.745398,39,61
熊野前,5.92,7.03,7.82,12.69,,8.97,14.2,,11.8,,,,13.0,139.769204,35.749212,33,60
宮ノ前,6.26,6.99,,10.58,6.38,,,,,,,,13.0,139.764955,35.750135,43,60
小台,5.98,6.72,7.5,10.33,7.65,8.87,,,,,,,13.0,139.761779,35.75057899999999,37,59
荒川遊園地前,5.14,7.3,,11.23,,9.0,,,,,,,13.0,139.757767,35.750744,39,57
荒川車庫前,6.24,7.14,,10.2,,,,,,,,,13.0,139.752617,35.750909,37,55
梶原,6.11,6.31,,,,,,,,,,,13.0,139.747403,35.751162,33,51
栄町,6.6,6.65,,10.41,,,,,,,,,13.0,139.742124,35.750909,32,50
王子駅前,6.86,8.32,,,,,,,,,,,13.0,139.737661,35.753199,31,48
飛鳥山,7.32,8.41,7.23,,,,,,,,,,13.0,139.737382,35.750248,27,47
滝野川一丁目,5.94,7.2,,13.07,,,,,,,,,13.0,139.735376,35.747374,26,46
西ヶ原四丁目,6.68,8.06,,12.61,,,,,,,,,13.0,139.732779,35.744501,25,44
新庚申塚,6.7,7.58,,,,,,,,,,,13.0,139.730451,35.74134799999999,22,43
庚申塚,7.22,9.08,11.57,11.8,,,,,,,,,13.0,139.72974299999998,35.73956300000001,21,43
巣鴨新田,7.35,8.08,9.35,13.77,,10.08,19.61,,,,,,13.0,139.727769,35.73548800000001,20,41
大塚駅前,7.46,8.65,9.66,13.81,,11.53,,,,,,,13.0,139.729593,35.732082,19,41
向原,6.89,8.28,11.79,15.55,9.85,10.78,,,,,,,13.0,139.724894,35.728938,22,40
東池袋四丁目,,8.95,,,,,,,,,,,13.0,139.720012,35.72528,19,35
都電雑司ヶ谷,6.44,8.53,,,,,,,,,,,13.0,139.718006,35.724261,17,33
鬼子母神前,,8.32,,,,,,,,,,,13.0,139.714916,35.72040300000001,15,31
学習院下,7.59,9.55,,,,,,,,,,,13.0,139.71247,35.716248,18,28
面影橋,7.65,7.91,,14.69,,,,,,,,,13.0,139.714444,35.712981,20,28
赤土小学校前,6.99,8.73,8.7,11.8,8.15,10.38,15.43,,,,,,13.0,139.76898899999998,35.74245399999999,31,59
足立小台,4.95,7.15,,,,8.87,,,,,,,13.0,139.770381,35.754658,34,64
扇大橋,6.85,6.53,,10.46,,8.26,9.74,,,,,,13.0,139.77080800000002,35.763897,36,68
高野,7.59,6.11,7.5,10.02,,7.89,12.91,,,,,,13.0,139.770679,35.76835900000001,1155,68
江北,6.23,6.79,8.16,9.13,,7.03,12.9,,,,,,13.0,139.770306,35.77402100000001,39,72
西新井大師西,5.75,6.74,7.64,9.43,,7.9,,,,,,,13.0,139.770094,35.781505,40,74
谷在家,5.35,6.58,7.97,9.07,,7.38,,,,,,,13.0,139.770043,35.788774,42,77
舎人公園,5.97,6.4,8.3,8.49,,,9.98,,,,,,13.0,139.770183,35.79623,44,85
舎人,6.73,6.31,,8.4,7.79,8.33,9.37,,,,,,13.0,139.770108,35.8057,46,87
見沼代親水公園,5.51,5.83,,8.38,7.9,9.22,,,,11.66,,,13.0,139.770719,35.814544,48,88
