station,1R,1K,1DK,1LDK,2K,2DK,2LDK,3K,3DK,3LDK,4K,4DK
橋本,4.22,5.52,7.01,8.35,,7.78,9.42,,8.90,,,
相模原,4.91,5.17,5.97,8.63,,7.73,9.31,,,8.20,,
矢部,3.66,4.66,6.49,,,6.34,,,,,,
淵野辺,4.36,5.08,6.14,9.90,5.77,6.74,8.71,,,,,
古淵,5.13,5.29,,8.09,,6.64,7.22,,7.48,10.59,,
町田,6.12,7.07,8.47,9.98,,8.39,12.70,,8.01,15.41,,
成瀬,,5.68,7.32,8.96,,7.59,,,,,,
長津田,6.25,6.11,6.14,,,7.59,9.60,,8.87,13.07,,
十日市場,5.28,5.31,,9.00,,7.69,,,,,,
中山,5.67,5.98,6.46,8.52,,7.31,11.58,,9.51,11.34,,
鴨居,7.05,6.67,,9.10,,,,,,12.36,,
小机,5.67,6.32,,,,6.74,8.50,,,,,
新横浜,7.56,8.11,9.91,12.70,,8.24,12.21,,11.62,17.18,,
菊名,6.07,6.56,7.54,10.09,7.04,9.47,12.37,,,16.40,,
大口,5.50,6.73,8.77,9.26,,7.90,,,,13.80,,
羽沢横浜国大,4.98,6.44,,,,,,,,,,
武蔵小杉,7.04,8.05,10.30,14.31,9.62,10.20,21.80,,,26.05,,
西大井,8.23,8.40,11.05,14.05,,11.87,16.62,,,,,
板橋,7.04,8.54,10.34,13.79,8.81,10.47,21.00,,,,,
十条,6.30,7.66,8.30,12.00,8.75,10.01,18.77,,15.50,16.07,,
北赤羽,5.88,7.41,8.63,10.64,7.10,9.76,,,,,,
浮間舟渡,6.00,6.80,,10.91,7.40,9.25,10.17,,,,,
戸田公園,5.39,6.20,,13.32,,8.29,,,,,,
戸田,5.20,5.79,,12.56,6.60,7.48,12.45,,,13.57,,
北戸田,5.19,6.06,7.02,11.32,,6.59,11.21,,,15.15,,
武蔵浦和,5.53,6.72,,12.13,,7.73,14.14,,,13.23,,
中浦和,4.79,5.71,,10.93,,7.46,9.23,,8.13,10.82,,
南与野,,5.77,5.50,8.24,4.50,7.58,10.93,,7.32,,,
与野本町,5.41,6.09,6.43,9.18,,,11.31,,8.85,,,
北与野,6.77,6.51,7.75,8.71,,8.59,13.35,,8.50,18.87,,
日進,6.88,5.59,,7.97,,5.85,7.26,,,14.88,,
西大宮,,5.92,,8.31,8.60,,9.41,,,13.00,,
指扇,4.77,4.78,,7.56,,,7.99,,7.63,9.30,,
南古谷,,4.32,,6.38,,,,,,,,
川越,5.94,6.55,7.51,9.25,,6.91,10.94,,,,,
浜川崎,5.40,6.37,,,,,,,,,,
小田栄,5.77,6.58,,9.41,,,,,,,,
川崎新町,5.71,7.31,7.95,9.79,,8.30,,,,,,
八丁畷,6.06,7.17,,9.60,9.67,9.42,,,,,,
尻手,5.94,7.87,8.69,11.12,9.64,9.95,11.81,,12.29,,,
矢向,6.14,7.16,7.83,10.38,7.45,9.09,,,,18.78,,
鹿島田,6.31,6.97,9.13,12.18,7.37,9.96,17.94,,,19.50,,
平間,6.10,7.43,10.22,11.08,,9.92,12.17,,10.70,,,
向河原,6.34,7.37,9.96,11.76,,9.01,,,,25.94,,
武蔵中原,6.85,7.29,8.03,10.84,,9.47,13.54,,10.84,,,
武蔵新城,6.76,7.09,7.30,11.61,,9.31,11.86,,,18.01,,
武蔵溝ノ口,7.23,7.37,9.39,12.97,,,,,,17.73,,
津田山,5.60,6.73,,10.55,,,,,,14.80,,
久地,5.84,6.16,8.03,9.72,,8.39,17.72,,9.65,,,
宿河原,5.00,6.08,,10.28,7.97,8.92,11.26,,9.25,,,
登戸,6.05,6.34,6.98,12.71,10.93,8.64,12.58,,,14.07,,
中野島,5.51,6.28,7.30,9.94,5.61,7.38,11.10,,9.12,10.81,,
稲田堤,5.17,5.50,,8.72,,7.49,9.33,,9.14,,,
矢野口,4.71,5.12,,8.35,6.09,7.43,,,,11.80,,
稲城長沼,4.90,5.16,5.29,8.50,,6.74,8.30,,,10.28,,
南多摩,,5.66,,8.62,,7.80,,,,,,
府中本町,5.36,6.54,,9.96,,7.86,,,,14.73,,
分倍河原,5.18,5.55,5.87,9.80,,8.73,9.92,,,10.78,,
西府,5.91,5.71,,9.76,6.62,8.17,11.80,,,,,
谷保,6.01,5.97,8.39,,,7.95,12.04,,9.03,11.86,,
矢川,5.10,5.72,10.96,11.24,,7.44,8.88,,,,,
西国立,5.11,5.86,7.74,10.14,,7.81,12.97,,,14.87,,
新川崎,6.15,7.66,8.82,11.34,7.21,8.99,17.92,,,15.57,,
保土ケ谷,5.34,6.36,6.77,9.86,,,,,,12.00,,
東戸塚,6.28,6.96,,10.76,,9.13,12.52,,11.24,14.25,,
北鎌倉,,,,,,,,,,,,
鎌倉,7.57,7.13,,,,,,,,,,
逗子,,6.38,,,,,,,,,,
東逗子,,5.93,,,,,,,,,,
田浦,3.95,,,,,,,,,,,
横須賀,,4.11,,,,6.43,,,,,,
衣笠,5.42,5.54,,,,,,,,,,
久里浜,,5.64,,,,5.88,,,,,,
北府中,,5.88,,,,,,,,,,
新小平,4.84,5.20,,7.90,,7.32,9.40,,,,,
新秋津,5.33,5.52,,9.50,6.70,6.26,,,,,,
東所沢,5.20,5.81,7.30,8.26,,5.94,,,7.16,8.37,,
新座,5.80,5.56,,,,6.74,,,,,,
北朝霞,4.96,5.96,5.39,9.46,6.04,8.21,9.77,,,10.68,,
西浦和,5.36,5.32,,7.87,,7.15,9.23,,,,,
東浦和,5.52,5.61,,8.38,,5.89,8.43,,7.94,16.73,,
東川口,5.07,5.70,6.32,9.40,5.47,6.32,11.88,,,15.03,,
南越谷,6.23,5.68,,,,6.08,,,7.43,11.49,,
